symptom,disease
"I'm troubled by throwing up, lost my appetite, trouble in the bathroom, queasiness plus gut pain for a while",appendicitis
"I have hard stools, can't eat properly, tummy ache, feeling sick to my stomach, feeling feverish plus throwing up for a while now.",appendicitis
"Lately I've had my body's been burning up, trouble in the bathroom along with puking.",appendicitis
"I keep feelin feeling sick to my stomach, pain in my belly, can't go to the bathroom and my body's been burning up and it's getting worse.",appendicitis
"I have reduced range of motion, warmth in joints, joint stiffness and redness around joints and I'm worried.",arthritis
"I keep feeling aching joints, reduced range of motion, warmth in joints, puffiness and also joint stiffness and I'm worried.",arthritis
"Lately I've had warmth in joints, visible swelling, joint stiffness and aching joints.",arthritis
"Been having warmth in joints, joints hurting bad, joint stiffness, my body looks swollen and redness around joints for a while now.",arthritis
"Recently I've been having swollen area, pain in my joints, warmth in joints, reduced range of motion, redness around joints plus joint stiffness for a while now.",arthritis
"I'm suffering from redness around joints, warmth in joints, reduced range of motion and puffiness.",arthritis
"My problem is reduced range of motion, joint stiffness, my body looks swollen and sore joints and I'm worried.",arthritis
"I keep having joint stiffness, warmth in joints, reduced range of motion, puffiness, aching joints and redness around joints since a few days.",arthritis
"I keep getting joint stiffness, sore joints and reduced range of motion and I don't know what to do.",arthritis
"Been having reduced range of motion, warmth in joints, puffiness, sore joints, joint stiffness and redness around joints and I don't know what to do.",arthritis
"Doctor, I've been experiencing reduced range of motion, redness around joints and joint stiffness recently.",arthritis
I've been dealing with sore joints and redness around joints since a few days.,arthritis
"I keep having aching joints, warmth in joints, joint stiffness and redness around joints.",arthritis
"I feel warmth in joints, aching joints, reduced range of motion and redness around joints recently.",arthritis
I've been experiencing reduced range of motion and warmth in joints.,arthritis
Lately I've had sore joints plus warmth in joints and I'm worried.,arthritis
"Been having reduced range of motion, joints hurting bad, redness around joints, joint stiffness and warmth in joints since a few days.",arthritis
"Lately I've been dealing with redness around joints, joints hurting bad along with warmth in joints since a few days.",arthritis
"Been having redness around joints, joint stiffness and reduced range of motion and I don't know what to do.",arthritis
"I wanted to tell you about reduced range of motion, redness around joints and joint stiffness recently.",arthritis
"I've been experiencing pain in my joints, warmth in joints, reduced range of motion, visible swelling plus redness around joints for a while now.",arthritis
"Been having warmth in joints, reduced range of motion, puffiness, aching joints and redness around joints for a while now.",arthritis
"Been having warmth in joints, redness around joints, visible swelling, reduced range of motion and pain in my joints.",arthritis
"I keep feeling warmth in joints, redness around joints, swollen area and pain in my joints.",arthritis
"Recently I've been having swollen area, joints hurting bad and reduced range of motion and I don't know what to do.",arthritis
"I wanted to tell you about reduced range of motion, pain in my joints, redness around joints and swollen area and I don't know what to do.",arthritis
"Recently I've been having reduced range of motion, joints hurting bad, warmth in joints, redness around joints and also puffiness and it's getting worse.",arthritis
I've been experiencing sore joints plus reduced range of motion and it's getting worse.,arthritis
"I keep having reduced range of motion, sore joints as well as redness around joints and I don't know what to do.",arthritis
"I've been dealing with reduced range of motion, sore joints, also warmth in joints and I'm worried.",arthritis
"got warmth in joints, aching joints along with tiredness since a few days.",arthritis
"I've been experiencing joint stiffness, warmth in joints, pain in my joints and feeling completely worn out.",arthritis
"I keep feeling joint stiffness, sore joints n feeling drained and I don't know what to do.",arthritis
"I've been experiencing a bit exhaustion, also joint stiffness.",arthritis
"Been having warmth in joints, joint stiffness and pain in my joints and I'm worried.",arthritis
I wanted to tell you about joints hurting bad and tiredness and I don't know what to do.,arthritis
"I have warmth in joints, joint stiffness as well as feeling completely worn out and I'm worried.",arthritis
"My problem is warmth in joints, always tired, joint stiffness and aching joints and it's getting worse.",arthritis
"Recently I've started having joint stiffness, sore joints, also feeling completely worn out since a few days.",arthritis
"I keep having pain in my joints, warmth in joints as well as low energy recently.",arthritis
"Doctor, I'm dealing with joint stiffness combined with redness around joints for a while now.",arthritis
"Doctor, I'm dealing with reduced range of motion, joint stiffness, exhaustion, redness around joints plus aching joints for a while now.",arthritis
"Been having redness around joints, joint stiffness, sore joints, exhaustion and reduced range of motion recently.",arthritis
I'm suffering from exhaustion and reduced range of motion and it's getting worse.,arthritis
"I have feeling completely worn out, reduced range of motion, redness around joints, joint stiffness plus aching joints recently.",arthritis
"Doctor, I'm struggling with joint stiffness, feeling drained as well as sore joints recently.",arthritis
"I keep feeling joint stiffness, aching joints, exhaustion, reduced range of motion and redness around joints.",arthritis
"Been having joint stiffness, redness around joints, low energy and reduced range of motion and it's getting worse.",arthritis
Recently I've been having redness around joints along with reduced range of motion and I don't know what to do.,arthritis
"I keep noticing aching joints, joint stiffness, redness around joints, feeling drained plus reduced range of motion and I don't know what to do.",arthritis
"I feel chest tightness, getting winded easily, a nagging cough, rapid breathing and trouble with breathing during exercise plus wheezing.",bronchial asthma
"Been having getting winded easily, trouble with breathing during exercise, rapid breathing, chest tightness and persistent cough.",bronchial asthma
"I wanted to tell you about rapid breathing, trouble with breathing during exercise, breathlessness, wheezing plus chest tightness and I'm worried.",bronchial asthma
"I've been experiencing wheezing, rapid breathing, trouble with breathing during exercise and getting winded easily recently.",bronchial asthma
"I have can't stop coughing, getting winded easily, trouble with breathing during exercise, chest tightness, wheezing n rapid breathing and I'm worried.",bronchial asthma
"I'm struggling with rapid breathing, can't stop coughing, getting winded easily and chest tightness.",bronchial asthma
"Doctor, I'm dealing with hard to breathe, trouble with breathing during exercise, chest tightness, wheezing, rapid breathing and also persistent cough and it's getting worse.",bronchial asthma
"I'm suffering from trouble with breathing during exercise, wheezing, chest tightness and breathlessness since a few days.",bronchial asthma
"I wanted to tell you about trouble with breathing during exercise, trouble catching my breath, wheezing, a nagging cough and also chest tightness for a while now.",bronchial asthma
"I wanted to tell you about wheezing, chest tightness, getting winded easily, rapid breathing plus trouble with breathing during exercise.",bronchial asthma
"I'm suffering from trouble catching my breath, wheezing, trouble with breathing during exercise, persistent cough, feeling drained and also rapid breathing and I don't know what to do.",bronchial asthma
"I feel can't stop coughing, trouble with breathing during exercise, also wheezing.",bronchial asthma
"I've been experiencing rapid breathing, trouble with breathing during exercise, breathlessness, wheezing, low energy and also coughing constantly for a while now.",bronchial asthma
"I wanted to tell you about rapid breathing, getting winded easily, low energy, wheezing and also trouble with breathing during exercise since a few days.",bronchial asthma
"I've been experiencing a bit a nagging cough, rapid breathing, trouble catching my breath, wheezing and trouble with breathing during exercise and also feeling drained and I'm worried.",bronchial asthma
"Doctor, I'm dealing with trouble with breathing during exercise, rapid breathing, wheezing and feeling completely worn out recently tbh",bronchial asthma
"Recently I've been having kinda rapid breathing, coughing constantly as well as wheezing for a while now.",bronchial asthma
"I feel trouble with breathing during exercise, feeling completely worn out, can't stop coughing, hard to breathe and rapid breathing for a while now.",bronchial asthma
"I keep having feelin drained, trouble with breathing during exercise and getting winded easily and it's getting worse.",bronchial asthma
"I feel trouble with breathing during exercise, hard to breathe, always tired, persistent cough plus rapid breathing and I'm worried.",bronchial asthma
"I'm suffering from wheezing, trouble with breathing during exercise, getting winded easily, chest tightness, always tired and also persistent cough for a while now.",bronchial asthma
"I keep having chest tightness, a nagging cough, trouble with breathing during exercise, feeling completely worn out and also hard to breathe recently.",bronchial asthma
"These days I've been having getting winded easily, wheezing, feeling completely worn out, chest tightness, can't stop coughing and trouble with breathing during exercise for a while now.",bronchial asthma
"I wanted to tell you about a nagging cough, feeling drained, wheezing, chest tightness plus trouble with breathing during exercise and it's getting worse.",bronchial asthma
"I'm suffering from trouble with breathing during exercise, persistent cough, wheezing, breathlessness and feeling drained.",bronchial asthma
"I'm suffering from trouble with breathing during exercise, chest tightness, feeling completely worn out and a nagging cough and it's getting worse.",bronchial asthma
"I feel trouble with breathing during exercise, trouble catching my breath along with a nagging cough.",bronchial asthma
"I'm going through chest tightness, trouble with breathing during exercise, hard to breathe, coughing constantly, wheezing and always tired.",bronchial asthma
"I'm suffering from hard to breathe, trouble with breathing during exercise, chest tightness, low energy plus wheezing.",bronchial asthma
"Lately I've had chest tightness, a nagging cough, exhaustion, getting winded easily and trouble with breathing during exercise and also wheezing.",bronchial asthma
"The issue I'm facing is trouble with breathing during exercise, can't stop coughing, trouble catching my breath and wheezing.",bronchial asthma
"Lately I've had chest tightness, coughing constantly, wheezing and trouble with breathing during exercise and I'm worried.",bronchial asthma
"I'm suffering from getting winded easily, wheezing, trouble with breathing during exercise and can't stop coughing.",bronchial asthma
I've been experiencing chest tightness along with persistent cough and I don't know what to do.,bronchial asthma
"I'm dealing with a nagging cough, chest tightness, breathlessness and wheezing and I don't know what to do.",bronchial asthma
"I have wheezing, chest tightness, hard to breathe and persistent cough recently.",bronchial asthma
My problem is persistent cough plus trouble with breathing during exercise.,bronchial asthma
"I'm suffering from chest tightness, wheezing, a nagging cough and trouble with breathing during exercise and breathlessness for a while now.",bronchial asthma
"I keep experiencing a nagging cough, wheezing, trouble with breathing during exercise, chest tightness and also getting winded easily and it's getting worse.",bronchial asthma
"Doctor, I've been having wheezing, chest tightness, also hard to breathe.",bronchial asthma
"I keep feeling coughing constantly, wheezing, chest tightness, rapid breathing plus trouble catching my breath and I don't know what to do.",bronchial asthma
"I've been experiencing wheezing, a nagging cough and trouble catching my breath.",bronchial asthma
"My problem is breathlessness, wheezing, chest tightness and rapid breathing and I don't know what to do.",bronchial asthma
"Recently I've been dealing with rapid breathing, a nagging cough, trouble catching my breath, chest tightness plus wheezing since a few days.",bronchial asthma
I keep noticing chest tightness as well as rapid breathing.,bronchial asthma
"Doctor, I'm dealing with trouble catching my breath, can't stop coughing, wheezing and chest tightness.",bronchial asthma
I keep having hard to breathe and rapid breathing.,bronchial asthma
"Recently I've been experiencing rapid breathing, a nagging cough, chest tightness, getting winded easily and wheezing since a few days.",bronchial asthma
Lately I've had wheezing and a nagging cough.,bronchial asthma
"I've been experiencing trouble catching my breath, chest tightness, rapid breathing, wheezing and a nagging cough for a while now.",bronchial asthma
"I have chest discomfort, breathlessness, feeling completely worn out, mucus production plus persistent cough since a few days.",bronchitis
"I wanted to tell you about low energy, chest discomfort n a nagging cough and I'm worried.",bronchitis
"Been having trouble catching my breath, coughing constantly, chest discomfort and mucus production.",bronchitis
"I've been dealing with trouble catching my breath, always tired, chest discomfort, coughing constantly and mucus production.",bronchitis
"I wanted to tell you about coughing constantly, hard to breathe, mucus production and low energy since a few days.",bronchitis
"I keep having breathlessness, can't stop coughing, always tired, wheezing and chest discomfort and I don't know what to do.",bronchitis
"Doctor, I'm dealing with trouble catching my breath, chest discomfort, persistent cough and feeling drained since a few days.",bronchitis
"Doctor, I'm dealing with hard to breathe, chest discomfort, wheezing and can't stop coughing and I don't know what to do.",bronchitis
"Doctor, I'm dealing with a bit wheezing, always tired, also breathlessness since a few days.",bronchitis
"lately been having always tired, persistent cough, getting winded easily and wheezing.",bronchitis
"What's bothering me is feeling drained, wheezing, a nagging cough and mucus production since a few days.",bronchitis
"I have coughing constantly, wheezing along with chest discomfort.",bronchitis
"I'm suffering from mucus production, feeling drained and wheezing for a while now.",bronchitis
"Been having mucus production, persistent cough, wheezing and chest discomfort recently.",bronchitis
"I keep feeling can't stop coughing, mucus production plus chest discomfort and I don't know what to do.",bronchitis
"I feel my body's been burning up, a nagging cough, wheezing and mucus production and it's getting worse.",bronchitis
"Doctor, I'm dealing with a nagging cough, wheezing, getting winded easily and high temperature since a few days.",bronchitis
"I keep feeling mucus production, my body's been burning up, coughing constantly and hard to breathe and I don't know what to do.",bronchitis
"Recently I've been having wheezing, breathlessness, can't stop coughing, mucus production and also feelin feverish and it's getting worse.",bronchitis
"I feel wheezing, coughing constantly, feeling feverish, getting winded easily and mucus production and I don't know what to do.",bronchitis
"I feel tiredness, chest discomfort, trouble catching my breath, my body's been burning up and can't stop coughing and it's getting worse.",bronchitis
"Recently I've been having running a temperature, chest discomfort, a nagging cough, wheezing, mucus production and feeling drained since a few days.",bronchitis
"I've been dealing with wheezing, feeling feverish, also chest discomfort since a few days.",bronchitis
"Doctor, I've been experiencing wheezing, feeling completely worn out, getting winded easily, mucus production, can't stop coughing, chest discomfort plus my body's been burning up.",bronchitis
"I feel chest discomfort, a nagging cough, tiredness, feeling feverish, wheezing, mucus production plus trouble catching my breath and it's getting worse.",bronchitis
"I wanted to tell you about faded colors, fuzzy vision, trouble with seeing at night nd cloudy vision.",cataract
"Recently I've been having cloudy vision, vision is blurry, faded colors and trouble with seeing at night and I don't know what to do.",cataract
Over the past few days I've noticed vision is blurry and faded colors recently.,cataract
"I wanted to tell you about cloudy vision, also trouble with seeing at night recently.",cataract
"My problem is trouble with seeing at night, cloudy vision, can't see clearly and faded colors recently.",cataract
"I've been experiencing frequent prescription changes, can't see clearly along with light hurts my eyes.",cataract
"Been having photosensitivity, vision is blurry as well as frequent prescription changes recently.",cataract
"Doctor, I'm dealing with frequent prescription changes, photosensitivity and vision is blurry and it's getting worse.",cataract
"Recently I've been having hazy eyesight, photosensitivity n frequent prescription changes for a while now.",cataract
"Been having light hurts my eyes, vision is blurry along with frequent prescription changes.",cataract
"I've been experiencing hazy eyesight, double vision, faded colors, light hurts my eyes, frequent prescription changes, trouble with seeing at night and cloudy vision.",cataract
"I'm struggling with cloudy vision, trouble with seeing at night as well as vision is blurry since a few days.",cataract
